group,requests,hit_rate,creation_cost_usd,saving_5min_usd,saving_1h_usd,break_even_5min,break_even_1h
A,5,1.0,0.0,0.01877,0.03101,回本,回本
B,5,1.0,0.0,0.02222,0.03671,回本,回本
C,5,0.0,0.01781,0.0,0.0,未回本,未回本
D1,5,1.0,0.0,0.02222,0.03671,回本,回本
D2,5,1.0,0.0,0.01934,0.03195,回本,回本
G1,5,0.0,0.0,0.0,0.0,—（无可缓存内容）,—（无可缓存内容）
G2,5,1.0,0.0,0.03545,0.05857,回本,回本
G2-1024,5,1.0,0.0,0.03545,0.05857,回本,回本
G2-4096,5,0.0,0.0,0.0,0.0,—（无可缓存内容）,—（无可缓存内容）
G3,5,1.0,0.0,0.03545,0.05857,回本,回本
G4,5,0.0,0.0,0.0,0.0,—（无可缓存内容）,—（无可缓存内容）
